State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty,Latitude,Longitude,Environment Category
Arkansas,Lee,10424,3624,26.249999999999968,35654.75,3,3,1,2,5282.775393853309,7216.1177195009195,2294.13224492035,3176.169934999745,4604.042060709436,1318.64408338617,10348.474598486951,2160,1607,4381,5761,41,2,49,190,168,688,1342,3.3,195.0,10550.0,36,30,148.0,16.0,222.0,49.0,34.7806229431,-90.7820673213,Food Deserts
Arkansas,Lincoln,14134,4207,26.899999999999967,41791.25,1,1,0,4,4694.287364132875,4694.287364132875,0.0,2372.17719565252,2372.17719565252,0.0,13904.473281991792,2743,1758,9407,4223,27,1,38,438,452,440,1034,4.0,191.0,9368.0,38,26,178.0,17.0,265.0,27.0,33.9574736745,-91.7333211971,Food Deserts
Arkansas,Mississippi,46480,17741,26.03333333333329,40194.66666666666,4,6,3,4,8460.445034573087,18967.633814868692,7664.406229868159,4601.775503499028,10311.155893124467,4147.002123519788,35857.002966180065,13104,5685,28653,15817,233,3,136,1638,1695,1642,4154,4.9,827.0,12293.0,40,27,623.0,393.0,1717.0,38.0,35.7639016515,-90.0541660119,Food Deserts
Arkansas,Monroe,8149,3481,29.266666666666595,43655.66666666666,1,1,1,1,1744.647963644094,2913.841736158614,1060.30271929619,1004.6384447082671,1729.8813223915424,708.216409584405,5660.13928680115,1840,1541,4584,3330,36,0,29,170,132,601,953,4.9,148.0,9945.0,38,32,192.0,21.0,188.0,47.0,34.6778362856,-91.2038921969,Food Deserts
Arkansas,Nevada,8997,3697,25.133333333333297,43134.66666666666,2,2,1,2,4872.93819562928,6432.38983007714,2527.50344169566,2626.984052334078,3688.768172972448,1474.91125777538,8120.9550651138,2131,1588,5933,2764,23,1,31,245,220,379,694,5.2,178.0,12173.0,36,29,149.0,19.0,190.0,36.0,33.6639660687,-93.3071433023,Food Deserts
Arkansas,Ouachita,26120,11003,22.96666666666665,43151.16666666666,3,4,2,3,8284.048344691068,13652.015201361832,3315.4118029746946,4511.059339834506,7646.931006032785,2070.6557869921,22382.35304510669,6145,4451,14883,10468,95,6,86,582,408,1064,1985,4.3,500.0,11426.0,35,27,407.0,83.0,656.0,35.0,33.5933550412,-92.8819343531,Food Deserts
Arkansas,Phillips,21757,8491,38.18333333333328,32212.83333333333,4,4,2,6,8557.93413587117,12066.945135521308,3768.288009684661,5355.3193762951205,7804.21775327225,2749.319486717472,20130.368185933818,6113,3254,7618,13719,67,1,51,301,287,1149,2733,1.9,461.0,15268.0,46,33,343.0,160.0,553.0,56.0,34.42829125,-90.8480221032,Food Deserts
Arkansas,Polk,20662,8450,22.949999999999967,40349.66666666666,3,3,0,0,6792.245565381338,6792.245565381338,62.01135220700778,3688.652689826937,3688.652689826937,41.62936098053522,18622.677551524874,4921,4025,19144,65,94,5,364,990,1190,386,1687,5.5,387.0,10065.0,37,23,415.0,53.0,499.0,32.0,34.4858849277,-94.2280604373,Food Deserts
Arkansas,Pulaski,382748,158772,18.7452631578947,59766.18947368421,26,39,26,24,111419.35730668656,247380.6072867909,110838.57968327767,41607.15645357032,95401.0252452993,41431.701320540014,305563.0897775818,92185,45908,220051,133858,7505,272,1555,19507,22168,10918,19565,5.5,5468.0,9595.0,32,20,4444.0,3891.0,8826.0,28.0,34.7699753373,-92.3119257562,Food Deserts
Arkansas,Searcy,8195,3574,23.099999999999966,41190.333333333336,1,1,0,1,2757.112547907885,2757.112547907885,0.0,1354.598893285284,1354.598893285284,0.0,7934.313377705041,1675,1745,7867,12,11,2,96,207,121,202,522,5.3,161.0,9883.0,35,23,144.0,13.0,178.0,39.0,35.9109060184,-92.6995245166,Food Deserts
Arkansas,St. Francis,28258,9616,27.549999999999965,38359.66666666666,3,3,2,3,8555.787975827774,13282.578918929405,5680.986103877121,4195.071748649272,6399.757533537782,2363.95570186933,25297.303245680057,6677,3447,12502,14667,136,9,148,796,1149,1095,2415,3.6,482.0,10465.0,43,30,415.0,149.0,670.0,44.0,35.0219948491,-90.7478115543,Food Deserts
Arkansas,Union,41639,16951,22.40999999999999,45993.6,4,4,4,2,11194.417808503735,20387.99001998471,6908.447772152935,5760.151608947848,10659.245018016438,3876.1403027690553,38323.58830419788,10061,6481,26276,13721,207,14,143,1278,1460,1021,2721,5.2,746.0,11030.0,39,23,681.0,229.0,1073.0,27.0,33.171357538,-92.5972913761,Food Deserts
California,Lassen,34895,10058,16.688888888888854,63170.88888888888,1,1,1,2,9725.486084388964,12106.81837804888,5369.215154013445,2638.4018283916685,3261.6237757810313,1521.5853739949328,28917.748305653047,6293,3474,25532,2834,356,165,1234,4774,6117,664,999,4.3,363.0,6200.0,24,14,345.0,133.0,792.0,20.0,40.6735903894,-120.594332834,Food Deserts
California,Sierra,3240,1482,16.3,57708.0,0,0,0,0,2859.05105019572,2859.05105019572,104.896814409745,900.700283354641,900.700283354641,38.0899095240401,3240.0000085000297,552,676,3022,6,12,2,44,154,269,22,49,5.2,,,23,14,50.0,12.0,121.0,17.0,39.5804001016,-120.515996378,Food Deserts
Colorado,Costilla,3524,1550,24.599999999999948,42522.0,2,2,2,2,3522.0072119919896,3522.0072119919896,2767.5172580443486,1734.9200653799298,1734.9200653799298,1380.062798572642,3523.99999824044,736,807,2397,24,34,9,104,956,2327,131,322,3.2,59.0,9465.0,22,23,55.0,6.0,106.0,43.0,37.2779522735,-105.428249706,Food Deserts
Colorado,Crowley,5823,1306,28.3,41953.0,0,0,0,0,459.48496194487,459.48496194487,29.7868874757229,283.20738137571703,283.20738137571703,18.35939593085,5424.23515035942,789,614,4509,559,59,0,139,557,1686,50,253,4.8,65.0,10486.0,22,22,61.0,6.0,59.0,39.0,38.326661062,-103.784825661,Food Deserts
Colorado,Kiowa,1398,619,14.6999999999999,51518.0,1,1,1,1,1398.0000046484197,1398.0000046484197,1348.8716800458699,594.555748308536,594.555748308536,573.7628475079509,1398.0000046484197,314,300,1346,4,0,0,7,41,78,17,58,4.3,,,20,13,30.0,1.0,21.0,22.0,38.4326851414,-102.740340455,Food Deserts
Colorado,Saguache,6108,2640,25.549999999999894,41208.5,1,1,0,0,1235.460731338367,1235.460731338367,74.9522245523089,583.8798784711922,583.8798784711922,36.914481134783294,3873.6591041470897,1416,893,5024,14,47,1,114,908,2452,119,404,2.7,72.0,8010.0,20,21,54.0,13.0,190.0,49.0,38.0805527548,-106.281555562,Food Deserts
Florida,Gadsden,46389,16952,26.8333333333333,47908.66666666666,2,2,1,6,1606.5028212761702,2800.9629254715687,976.1766258927521,911.3346922901152,1481.13810214499,459.12286482291495,40470.390510337405,11205,6323,16646,25996,227,19,137,3364,4419,2042,4375,5.3,733.0,9919.0,37,23,463.0,211.0,1293.0,38.0,30.5794688821,-84.6135993294,Food Deserts
Florida,Hamilton,14799,4617,29.13333333333327,41637.0,2,2,0,2,2964.470690438732,2964.470690438732,0.0,1476.0921308193774,1476.0921308193774,0.0,13859.372414785212,2913,1946,8851,5102,76,0,93,677,1306,351,1278,5.3,255.0,10945.0,33,20,270.0,58.0,289.0,45.0,30.4964266893,-82.9479591393,Food Deserts
Florida,Madison,19224,6985,21.619999999999962,42782.0,1,1,0,2,4052.891652246035,4052.891652246035,0.0,1838.333630759144,1838.333630759144,0.0,17490.132200933782,4187,3045,11070,7460,47,0,93,554,899,738,1589,5.5,319.0,10033.0,34,20,369.0,154.0,465.0,37.0,30.4441430277,-83.4701228264,Food Deserts
Florida,Okeechobee,39996,14013,25.141666666666627,39994.583333333336,7,7,6,2,24008.87468699137,27224.16092443749,19283.204215953832,14762.738172272504,16236.14116633203,12349.01215920002,37130.11817858474,9584,6791,31009,3203,351,29,380,5024,9561,568,2834,5.3,659.0,9693.0,31,23,615.0,168.0,1068.0,35.0,27.3863036127,-80.888585011,Food Deserts
Florida,Putnam,74364,29409,25.13529411764704,39788.705882352944,5,5,4,9,11587.951203883125,17469.685219196574,10772.19496215968,6211.832680521206,9577.094621799484,5870.185935767901,69321.67600190316,16785,14070,57468,12030,455,53,359,3999,6706,2194,6113,5.5,1397.0,10213.0,36,20,1272.0,455.0,2072.0,41.0,29.6086348479,-81.7443041288,Food Deserts
Florida,Washington,24896,8864,18.971428571428547,48195.571428571435,3,3,0,1,10140.835915826076,10140.835915826076,2.0822565362031997,5446.868904952161,5446.868904952161,1.05975244777801,22952.844929860843,5270,3827,20014,3745,134,15,319,669,733,490,1518,5.2,401.0,8390.0,39,16,470.0,59.0,564.0,34.0,30.6105923313,-85.6653287163,Food Deserts
Georgia,Baker,3451,1372,19.35,55608.0,1,1,0,1,2616.91711574938,2616.91711574938,0.0,1054.157545739416,1054.157545739416,0.0,3451.0000031506897,801,530,1675,1613,25,2,9,127,145,121,266,2.1,,,30,21,46.0,7.0,83.0,42.0,31.326183927,-84.4446694741,Food Deserts
Georgia,Baldwin,45720,16788,34.88888888888884,43579.0,4,5,4,5,8602.690420576288,16028.661054981952,8541.587397943036,4539.54111190289,9603.84228934457,4504.195537639621,39910.324218741975,9351,5508,25121,18965,582,19,98,935,919,1287,2567,5.1,637.0,8612.0,37,24,402.0,259.0,1355.0,36.0,33.0692757535,-83.2495906334,Food Deserts
Georgia,Ben Hill,17634,6794,35.39999999999998,36861.6,2,2,2,3,5224.056792934257,8374.986067816137,4943.52043590581,2418.671441826185,4385.3903014412235,2266.565788615822,15613.961631815979,4668,2468,10446,6104,126,2,56,900,1026,912,1746,4.9,336.0,10853.0,35,24,284.0,71.0,481.0,47.0,31.7597819469,-83.2204589709,Food Deserts
Georgia,Bibb,155547,60295,31.42045454545451,47867.0,13,28,13,20,49557.37398017079,107145.93783389695,49557.37398017079,19336.79528948293,53325.069552919675,19336.79528948293,125925.95089021795,40119,19689,67199,81116,2531,120,332,4249,4389,6744,12923,5.2,2712.0,11182.0,31,21,2322.0,803.0,4484.0,42.0,32.8064982238,-83.6974200138,Food Deserts
Georgia,Bulloch,70217,25575,35.999999999999964,44383.91666666666,3,6,3,5,14588.472731874695,28723.319865728143,13679.356857952043,5318.285853993679,16440.39091797574,4991.726251496277,58336.49310544455,14393,6401,47215,19409,1020,64,183,2326,2439,1586,3760,5.3,727.0,7468.0,34,21,791.0,124.0,2077.0,31.0,32.3968141786,-81.7431781429,Food Deserts
Georgia,Burke,23316,8533,30.366666666666635,40766.5,2,2,1,3,3107.1265802797298,5589.2162778944985,1660.89283230815,1714.2553042673892,3337.423283326895,793.7812343817039,20539.82047566683,6585,2767,11070,11533,77,20,49,567,617,714,2037,5.4,389.0,10757.0,32,22,251.0,147.0,735.0,38.0,33.0611535027,-82.0007811537,Food Deserts
Georgia,Calhoun,6694,2002,40.449999999999946,34234.0,1,1,0,1,920.7954364934509,920.7954364934509,0.0,381.149766871291,381.149766871291,0.0,5863.61275745943,1320,797,2326,4105,30,18,10,205,262,264,436,4.7,92.0,6334.0,34,31,63.0,106.0,130.0,42.0,31.5291972743,-84.6245076946,Food Deserts
Georgia,Chattahoochee,11267,2686,6.26,39348.4,1,1,1,0,11029.361379739757,11029.361379739757,8101.99993751394,4225.89758321872,4225.89758321872,3094.5794713566997,11266.99990730005,3053,420,7753,2123,246,72,81,992,1398,93,270,4.8,71.0,7676.0,27,20,57.0,0.0,193.0,25.0,32.346971275,-84.7870462059,Food Deserts
Georgia,Clarke,116714,45414,38.32666666666663,58566.43333333333,15,20,15,10,48180.330415995166,88731.26362315123,48180.330415995166,28062.68686862521,50522.753289904314,28062.68686862521,96237.25024334203,20423,9952,72238,30988,4869,84,247,8288,12192,3065,6313,4.2,1057.0,7035.0,25,24,863.0,449.0,3317.0,42.0,33.9511687467,-83.3673290793,Food Deserts
Georgia,Clay,3183,1331,45.7999999999999,29464.0,1,1,0,1,2355.45401748128,2355.45401748128,0.0,1801.6255166992999,1801.6255166992999,0.0,3183.00002596292,717,623,1197,1923,10,1,11,41,26,311,499,4.6,59.0,11134.0,30,34,40.0,1.0,98.0,52.0,31.6262755156,-84.9801029119,Food Deserts
Georgia,Clayton,259424,90633,24.86599999999996,43384.26,23,36,23,17,102913.67425945077,193478.80714099976,102913.67425945077,47157.41256929197,96236.45728016607,47157.41256929197,204365.12554681048,74979,17236,48960,171480,12937,139,965,24943,35447,6447,20502,4.4,2768.0,7461.0,38,23,1605.0,1534.0,9343.0,35.0,33.5419006063,-84.3576542517,Food Deserts
Georgia,Crisp,23439,9079,30.13333333333333,45471.83333333334,1,1,1,3,1655.9530001551886,4368.555742514689,1531.90470159237,789.5197391847247,2017.0607601137747,744.4276212978799,19768.01414935791,6122,3273,12487,10079,183,11,32,647,748,849,2616,4.1,402.0,11180.0,31,24,279.0,96.0,641.0,47.0,31.9229299181,-83.768102221,Food Deserts
Georgia,Dooly,14918,5286,29.133333333333297,36259.66666666666,2,2,2,2,7682.65423147042,10757.02224860084,7654.425075167121,4065.5569324597523,5744.146723747973,4048.03845992416,12742.79310016397,3159,2055,6810,7442,96,3,16,551,862,416,1261,4.6,179.0,6873.0,35,25,132.0,29.0,359.0,45.0,32.1571759799,-83.7987668507,Food Deserts
Georgia,Dougherty,94565,36508,33.577777777777726,39949.62962962963,12,17,12,12,35806.45732060527,63831.363186152106,35756.464520242414,20111.99226027349,36553.49865312905,20091.321336648798,80341.21239772702,24334,11457,27986,63470,736,120,209,2044,2073,4581,9841,2.9,1491.0,10923.0,34,25,1275.0,820.0,2906.0,42.0,31.5333740309,-84.2162536823,Food Deserts
Georgia,Emanuel,22598,8430,27.49999999999993,41217.833333333336,3,3,1,3,6952.157011060184,8083.7212093574035,3065.0713675136,3765.893842839387,4477.881321916808,1689.87856984471,20953.727936412517,5748,3162,13928,7562,154,3,58,893,921,781,2000,4.7,452.0,13244.0,36,23,301.0,100.0,715.0,40.0,32.5897619047,-82.301708462,Food Deserts
Georgia,Glascock,3082,1162,16.6,49754.0,0,0,0,0,2147.1099515887,2147.1099515887,0.0,853.399815022029,853.399815022029,0.0,3081.9999862377504,813,465,2767,253,1,0,7,54,33,37,157,4.9,64.0,14806.0,29,17,62.0,1.0,81.0,24.0,33.2292799721,-82.6107022318,Food Deserts
Georgia,Hancock,9429,3341,26.199999999999953,39851.5,1,1,1,1,5516.456494783772,6706.379024744521,5080.468914620471,3722.663591383826,4695.233177385855,3587.17262622962,8931.391462349571,1719,1468,2300,6983,47,1,35,63,139,343,685,3.4,134.0,8094.0,31,26,128.0,10.0,243.0,44.0,33.2704260085,-83.0006868923,Food Deserts
Georgia,Jefferson,16930,6241,29.374999999999925,35369.75,0,0,0,3,121.3233390879867,121.3233390879867,0.0,70.6385085092549,70.6385085092549,0.0,13986.18871158259,4271,2498,7206,9213,68,2,18,423,517,929,1782,5.4,333.0,12514.0,35,25,284.0,68.0,567.0,40.0,33.0548441405,-82.4181514496,Food Deserts
Georgia,Liberty,63453,22155,18.157142857142844,47751.785714285725,5,5,5,1,25877.763859021867,36590.24752245834,25492.18259440296,13514.194800466214,17893.288306014358,13452.484173939549,56743.252456184375,19191,3971,29881,26805,1247,392,358,4770,6159,1343,3204,4.9,636.0,8016.0,35,21,680.0,241.0,1597.0,27.0,31.8072288628,-81.4562556854,Food Deserts
Georgia,Macon,14740,4999,29.17499999999993,39354.75,0,0,0,2,48.20488228672178,48.20488228672178,0.0,33.01201013557142,33.01201013557142,0.0,13384.46547086743,3253,1827,5177,8933,195,20,40,375,527,654,1245,4.4,241.0,9436.0,36,26,146.0,61.0,418.0,44.0,32.3583825945,-84.0424794131,Food Deserts
Georgia,Marion,8742,3420,18.25,46591.0,0,0,0,1,4.887431070674207,4.887431070674207,0.0,2.518694100901477,2.518694100901477,0.0,7675.450689341349,2096,1215,5254,2856,78,13,44,497,570,309,817,3.0,131.0,8698.0,33,21,108.0,9.0,282.0,40.0,32.3533781815,-84.5246378869,Food Deserts
Georgia,Mitchell,23498,8055,31.339999999999986,38524.6,2,2,1,4,5281.676906548707,7337.269045351048,4546.9680537613895,3191.422743487495,4366.173649747915,2953.07657289593,19179.472654343368,5836,3087,11264,11219,122,10,77,806,1028,1044,2582,5.2,354.0,9627.0,34,23,336.0,58.0,577.0,38.0,31.2253196926,-84.1943088346,Food Deserts
