State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty,Latitude,Longitude
Colorado,Lake,7310,2953,14.54999999999995,65178.5,1,1,1,0,3306.0617460673698,5854.88664590191,3306.0617460673698,1342.6678819183,2187.09546664254,1342.6678819183,5854.88664590191,1822,647,5898,27,33,4,97,1251,2858,132,173,5.7,68.0,5761.0,18,15,50.0,18.0,176.0,26.0,39.2023794705,-106.344837734
Colorado,Larimer,299630,120295,16.30958904109586,71502.21917808219,5,26,5,6,64686.27396711782,175810.74326442642,62394.37767309872,14701.792107183466,53872.023261681614,14171.88786011738,230322.5882699632,64057,35541,271267,2500,5800,224,2206,17633,31628,5499,7691,7.5,2420.0,4738.0,19,10,2071.0,656.0,5942.0,11.0,40.6664172232,-105.461144451
Colorado,Las Animas,15507,6384,16.566666666666666,59407.0,2,4,0,0,4929.659797788663,8685.56162547349,2079.808232176857,1693.1965164238668,2989.5553398483758,740.9929604776961,13606.24988667761,3241,2748,12967,218,110,7,375,1830,6446,503,818,7.1,240.0,9057.0,21,16,233.0,18.0,348.0,28.0,37.3158384919,-104.03869984
Colorado,Lincoln,5467,1948,16.34999999999995,54710.0,1,1,1,1,1246.551683833826,1246.551683833826,677.829855154828,520.581550044919,520.581550044919,287.45180287808046,4021.2382128522095,1120,918,4868,290,43,2,51,213,683,86,131,7.0,52.0,5761.0,24,14,71.0,7.0,74.0,25.0,38.9880685587,-103.513965366
Colorado,Logan,22709,8047,14.316666666666631,55089.16666666666,3,4,1,2,3982.3096155355156,7426.5039177436,604.457159233946,1243.632164404663,2388.321395777779,178.58498794240703,17841.46694915718,4542,3321,20213,900,127,15,263,1191,3551,706,898,7.5,261.0,6534.0,25,15,264.0,50.0,343.0,18.0,40.7246687188,-103.110095731
Colorado,Mesa,146723,58095,16.21724137931033,60434.862068965514,8,13,7,8,50275.4470910264,100861.76851939195,45367.81460036938,15246.066047652534,34116.61223214544,13728.493043689155,119382.21442155265,34517,21872,131181,935,1121,161,1554,11771,19552,3571,6555,7.0,1674.0,6687.0,24,13,1150.0,483.0,3997.0,18.0,39.0182904955,-108.466440182
Colorado,Mineral,712,355,6.8,70682.0,0,0,0,0,91.1122066552129,91.1122066552129,28.670406294506897,28.2137233656846,28.2137233656846,8.87805198734869,474.37886536704,101,164,693,2,1,0,4,12,21,6,0,6.0,,,18,11,,1.0,16.0,19.0,37.6689956825,-106.924094646
Colorado,Moffat,13795,5465,11.999999999999973,64988.5,2,2,1,0,5820.0874220353335,10066.625942764327,5027.421628600779,1836.8279294955728,3323.9560760364643,1504.8886429122242,10447.67192895385,3733,1454,12422,42,77,7,122,1125,1985,177,540,7.6,156.0,7392.0,26,12,155.0,18.0,324.0,17.0,40.61842222,-108.207290604
Colorado,Montezuma,25535,10541,19.37142857142856,50867.285714285725,3,3,1,2,3679.7647430367324,5557.055212463391,1194.6605266424592,1734.9581287795331,2632.163565452775,452.6397589208637,21689.1202631193,5999,4269,20704,58,121,13,3128,1511,2818,486,1079,7.0,340.0,8943.0,22,14,318.0,51.0,702.0,29.0,37.3384339705,-108.596669828
Colorado,Montrose,41276,16484,16.329999999999973,55940.2,5,6,3,2,11854.364209019506,18891.246502156955,8642.950567837946,5303.8003107352415,8663.4033404782,3531.3910782605913,35292.609863818485,10179,7349,35804,162,255,25,446,4584,8127,927,2186,7.1,480.0,7113.0,20,14,503.0,70.0,989.0,25.0,38.4021560325,-108.269451135
Colorado,Morgan,28159,10294,12.999999999999973,55535.625,2,4,2,2,4237.985311939264,13217.51646419251,3387.2260407390086,1527.1883952318897,5095.374452566472,1311.5294086836645,20540.872865681045,7875,3965,22360,808,140,30,237,4584,9506,731,1240,8.1,302.0,6744.0,27,15,322.0,47.0,562.0,17.0,40.2627443761,-103.809822237
Colorado,Otero,18831,7729,23.58571428571424,44480.857142857145,3,3,3,3,6260.61293919309,8847.374067128341,6040.320030796956,3297.1394453458233,4903.24757324296,3204.6532379474224,15770.521816541477,4660,3458,14788,143,143,11,338,3408,7596,595,1417,6.4,316.0,10357.0,27,20,324.0,28.0,462.0,31.0,37.9027017254,-103.716445685
Colorado,Ouray,4436,2022,7.4,71094.0,0,0,0,0,273.479042767945,273.479042767945,0.0,76.6943859811378,76.6943859811378,0.0,3766.3754297865794,797,777,4277,7,25,5,17,105,196,55,122,8.1,,,19,10,26.0,1.0,93.0,15.0,38.1554971802,-107.76931682
Colorado,Park,16206,7174,10.7,70194.2,2,2,0,0,8729.069843771882,8729.069843771882,456.2145678893245,2198.0906006286177,2198.0906006286177,149.87756439838856,15627.77794457445,3108,1881,15352,69,103,2,152,528,783,155,418,7.4,173.0,5247.0,21,10,119.0,19.0,325.0,15.0,39.1193028617,-105.717174716
Colorado,Phillips,4442,1819,16.299999999999898,57038.0,0,0,0,0,209.37070933354218,209.37070933354218,0.0,75.2370995136429,75.2370995136429,0.0,2742.055590149184,1122,919,3961,18,26,5,20,412,830,110,128,7.5,38.0,7342.0,23,14,72.0,6.0,57.0,17.0,40.5938843197,-102.357579601
Colorado,Pitkin,17148,8152,7.824999999999973,97437.75,0,0,0,0,1568.6938845434693,2481.377961437191,970.618863395298,294.932970838683,501.93390479247705,202.15108186668598,11772.60998508471,2999,1964,16028,93,207,12,45,763,1561,346,89,8.1,91.0,3958.0,15,10,88.0,17.0,415.0,8.0,39.2171057452,-106.916577749
Colorado,Prowers,12551,4935,20.44,45366.8,3,4,2,1,3063.590624010422,6301.141009838334,1995.1483228571747,1602.7514931730493,3587.2428266366546,940.8043706570191,8900.407697569559,3404,1835,10165,64,38,2,112,2170,4417,258,991,6.9,147.0,7801.0,26,18,233.0,14.0,239.0,28.0,37.9551831858,-102.393348977
Colorado,Pueblo,159063,62972,22.76909090909087,48533.05454545454,19,34,17,15,69282.07537904341,116165.67572497127,65665.83265290747,27931.390361051825,49155.19375862522,26556.85582097226,129707.0450155224,38915,24346,126229,3222,1258,160,3055,25139,65811,5623,11352,6.7,2213.0,8658.0,26,19,1694.0,936.0,4069.0,27.0,38.1734202345,-104.512845555
Colorado,Rio Blanco,6666,2647,15.89999999999995,74944.5,0,0,0,0,572.227252070973,572.227252070973,116.95459251734621,155.56262086074292,155.56262086074292,43.70533137020868,4838.4554506818295,1621,827,6123,50,22,11,59,401,665,127,170,7.7,63.0,6626.0,23,12,64.0,7.0,150.0,11.0,39.9798357499,-108.217225788
Colorado,Rio Grande,11982,4779,21.899999999999967,44937.66666666666,2,2,1,1,2122.6398710521507,3586.5502697370507,760.6052863061923,906.2073309156101,1557.72519890638,311.4065277812471,7572.428085950863,3025,1945,9379,43,42,2,220,2296,5086,425,876,8.0,176.0,8153.0,23,17,147.0,18.0,309.0,29.0,37.5825228172,-106.38321036
Colorado,Routt,23509,9892,10.049999999999988,77452.125,0,0,0,0,4938.4734751973165,7573.2259951759615,3966.5753020676293,1230.713683771332,1967.176268011148,1000.3273689543184,17963.835837181752,4909,1909,22279,99,150,17,109,855,1600,271,250,7.7,167.0,4436.0,14,9,113.0,39.0,464.0,11.0,40.4850679408,-106.991193187
Colorado,Saguache,6108,2640,25.549999999999894,41208.5,1,1,0,0,1235.460731338367,1235.460731338367,74.9522245523089,583.8798784711922,583.8798784711922,36.914481134783294,3873.6591041470897,1416,893,5024,14,47,1,114,908,2452,119,404,2.7,72.0,8010.0,20,21,54.0,13.0,190.0,49.0,38.0805527548,-106.281555562
Colorado,San Juan,699,344,16.5,53250.0,1,1,0,0,693.707243480449,693.707243480449,3.31764772697351,287.893818113266,287.893818113266,1.37684923957567,699.000010283793,128,86,647,0,8,0,2,42,84,17,26,6.0,,,19,15,,2.0,20.0,34.0,37.764043073,-107.676147275
Colorado,San Miguel,7359,3454,10.724999999999977,79148.0,0,0,0,0,718.693398459579,718.693398459579,87.08156851181771,143.3602182499998,143.3602182499998,21.863712824857398,4265.111920961567,1447,517,6837,29,53,4,57,379,630,182,133,7.9,51.0,4528.0,17,11,27.0,7.0,192.0,13.0,38.0037403985,-108.405922131
Colorado,Sedgwick,2379,1093,15.6,55625.0,0,0,0,0,441.699892597613,441.699892597613,0.0,117.34329641521799,117.34329641521799,0.0,1489.95722319818,460,569,2194,8,17,0,10,150,289,57,83,7.7,,,22,13,47.0,5.0,39.0,24.0,40.8759049641,-102.351791195
Colorado,Summit,27994,11754,12.639999999999981,84238.6,0,0,0,1,2517.4034719727324,3716.8014063815917,2268.4743640716697,1035.3713918565434,1407.812813318525,921.059205266758,20589.09400517389,4884,2158,25103,230,278,19,87,2277,3989,319,340,7.8,133.0,3644.0,13,10,86.0,46.0,518.0,10.0,39.634170806,-106.116379137
Colorado,Teller,23350,9805,9.699999999999985,72117.0,0,1,0,0,4217.333479403195,7309.5504744681875,4043.4557900446366,625.8669531790854,1194.0782304484947,606.6955421756642,20675.035669322384,4780,3023,22008,110,165,21,212,834,1294,266,765,7.9,297.0,7901.0,20,9,226.0,48.0,513.0,15.0,38.8821720468,-105.161826391
Colorado,Washington,4814,1980,12.95,51909.5,1,1,1,1,2485.028610527786,2485.028610527786,960.3815906644099,786.4285896647051,786.4285896647051,337.165242215317,3723.1508093759803,1125,928,4588,30,11,3,7,175,407,68,144,6.3,53.0,6935.0,23,11,70.0,9.0,71.0,16.0,39.9710617874,-103.201252881
Colorado,Weld,252825,89349,12.846753246753234,70214.84415584416,11,23,11,3,56377.184489174055,125138.64034965412,53041.1931434467,16053.961968793208,44411.042183156045,15118.513270203865,202045.2718628856,70401,24235,209594,2473,3022,216,2817,34703,71680,3993,8858,8.2,2310.0,5860.0,26,14,2225.0,773.0,5670.0,14.0,40.5548298977,-104.392531357
Colorado,Yuma,10043,3952,10.25,55363.5,2,2,0,0,2300.54798145925,2300.54798145925,839.412918283936,682.317871563523,682.317871563523,262.1242420897209,7779.442492832991,2647,1623,8861,18,23,3,50,1088,2088,191,238,7.8,98.0,7101.0,25,13,131.0,4.0,138.0,19.0,40.0028993432,-102.424226323
Connecticut,Fairfield,916829,335545,9.789099526066336,116519.1990521327,13,48,13,26,264287.29971967736,573229.2937740855,264287.29971967736,29466.26669302345,99096.14081422666,29466.26669302345,632733.8320735696,227019,124075,685900,99317,42284,442,2384,86502,155025,27510,29380,8.4,6772.0,4367.0,21,14,7811.0,2428.0,25273.0,11.0,41.2249600832,-73.3712046145
Connecticut,Hartford,894014,350854,14.226339285714273,81389.93303571429,14,53,14,25,249153.90341664504,523102.67255914595,249153.90341664504,34530.94456398386,99437.770479419,34530.94456398386,599590.4433142621,204043,130119,647237,119191,37958,289,2387,86952,136783,38127,48832,7.7,8368.0,5589.0,27,14,8401.0,2565.0,27682.0,16.0,41.8064287933,-72.7328122495
Connecticut,Litchfield,189927,76640,7.639215686274508,88033.01960784312,5,8,5,1,42806.871399912714,72614.21352177825,42806.871399912714,6546.084049943654,12757.498471500025,6546.084049943654,152861.0387728533,40952,30342,178268,2558,2908,45,404,5744,8535,3931,5472,8.6,1975.0,5825.0,24,11,2146.0,129.0,5301.0,9.0,41.7924983178,-73.2453207905
Connecticut,Middlesex,165676,67202,8.047222222222222,94313.30555555556,1,2,1,1,61957.240523755856,97733.6570960744,61957.240523755856,10253.069105659893,18793.854467729903,10253.069105659893,143402.47358519415,35098,25621,147823,7727,4247,58,253,5568,7834,3305,4517,8.2,1589.0,4914.0,24,10,1604.0,123.0,4410.0,7.0,41.4353818043,-72.5231194296
Connecticut,New Haven,862477,334502,14.19842105263156,78603.04210526316,20,65,20,43,259753.8362375309,578607.603905341,259753.8362375309,40441.70860501713,133891.78953666502,40441.70860501713,619857.8352917782,192974,123972,644744,109850,30263,334,2497,74789,129743,37868,46517,7.6,8325.0,5673.0,27,15,8037.0,3084.0,27907.0,20.0,41.3488242868,-72.8998576911
Connecticut,New London,274055,107057,9.21666666666666,79931.24242424242,10,14,10,13,114415.46225023133,169336.41975947755,114415.46225023133,22377.685554908207,39348.437688123486,22377.685554908207,244085.19844480642,59599,38995,225213,16025,11383,180,2505,18749,23214,7673,12357,7.8,2779.0,5673.0,28,12,3348.0,511.0,7939.0,17.0,41.4667862464,-72.1065129033
Connecticut,Tolland,152691,54477,8.168965517241366,87565.72413793103,5,6,5,3,55927.850488376534,74893.9517176911,55927.850488376534,11890.497804252915,18115.798600279624,11890.497804252915,141770.93660459606,30884,18220,137125,5011,5134,36,264,5121,6602,1779,3286,7.8,1183.0,4454.0,25,12,1361.0,,4061.0,7.0,41.855065982,-72.3365016791
Connecticut,Windham,118428,44810,11.203999999999986,73655.24,2,7,2,6,16937.5004517982,34781.569697364605,16808.7055718629,4367.194716274119,11685.963478516089,4348.969864575661,98074.10849173108,26446,15215,106100,2617,1388,44,562,7717,11351,3244,7116,7.7,1244.0,6001.0,30,13,1403.0,,3911.0,17.0,41.8300455104,-71.9874782796
Delaware,Kent,162310,60278,13.812121212121186,60787.0,4,9,4,5,35366.46587433944,74877.16565146862,35366.46587433944,9804.37997018968,24648.86290162028,9804.37997018968,134070.7103960523,40379,21982,109999,38913,3306,91,1043,8958,9346,3866,9291,7.7,2189.0,8162.0,33,17,4291.0,801.0,4149.0,21.0,39.0959545402,-75.5046137018
Delaware,New Castle,538479,202651,12.700763358778607,78696.50381679389,15,38,15,19,134557.98565749664,341928.93463236536,134557.98565749664,27466.844698179346,80083.73301289839,27466.844698179346,382099.60468840296,125079,66222,352955,127786,23300,159,1574,32705,46921,14689,23089,7.8,5872.0,6940.0,28,16,7823.0,3030.0,13889.0,18.0,39.5783299005,-75.6389781252
Delaware,Sussex,197145,79368,11.875925925925912,66796.57407407407,8,8,8,3,58472.8977886717,84267.1364283245,58472.8977886717,17687.927444630306,26150.576372529467,17687.927444630306,171770.68940893936,40307,41073,155663,25115,1943,150,1564,12710,16954,3286,10734,8.3,2862.0,7051.0,31,16,6112.0,918.0,4856.0,21.0,38.6832973547,-75.3395417153
Florida,Alachua,247336,100516,27.60892857142853,59051.07142857143,11,26,11,15,45543.249667581586,130732.34562463195,45183.99924032058,18010.319935182648,56527.277017716224,17872.940190903824,194499.6857839745,44285,26627,172156,50282,13235,134,772,10757,20752,8200,11139,6.0,2406.0,6633.0,26,16,2752.0,1472.0,5910.0,22.0,29.6747549911,-82.3577015483
Florida,Baker,27115,8772,18.274999999999977,55789.0,2,2,1,1,14710.389039427373,17027.624843882946,10602.21223582778,5048.631375518549,6284.002994235041,2979.0938000044002,25819.448112543887,7047,2956,22686,3680,132,5,76,536,520,302,1612,6.0,367.0,8270.0,36,15,409.0,98.0,607.0,24.0,30.331070985,-82.2845872684
Florida,Bay,168852,68438,15.163636363636336,55698.704545454544,4,13,4,4,46950.782694970505,99103.0198708232,43918.825897892835,14759.369566064644,34669.34466081276,13810.237264096368,134987.92561787213,37076,24559,138731,18180,3353,161,1153,7274,8107,4179,9641,6.3,2744.0,9168.0,30,15,2950.0,886.0,4737.0,26.0,30.237646533,-85.6326228076
Florida,Bradford,28520,9479,20.149999999999977,52613.75,0,0,0,1,107.845299165986,107.845299165986,0.0,51.72090820601439,51.72090820601439,0.0,25775.632814150693,5635,4113,21801,5823,151,13,91,641,1020,750,1695,7.0,473.0,10346.0,36,16,477.0,123.0,514.0,31.0,29.9499595746,-82.1687777662
Florida,Brevard,543376,229692,14.550442477876064,59805.03539823009,20,34,20,16,233392.37095665775,400179.62903019326,233283.91497542968,70665.66185525082,128844.41738802993,70637.70529530446,441120.1325486855,107686,110712,450927,54799,11349,514,2118,23669,43943,11886,26035,6.5,7983.0,7722.0,26,14,8495.0,2865.0,15122.0,21.0,28.300314142,-80.7012054832
Florida,Broward,1748066,686047,15.233240997229895,66064.51800554017,18,102,18,44,173938.93556652122,979002.7698284085,173938.93556652122,46645.59803523598,324254.81366541126,46645.59803523598,987507.5004974798,391349,249424,1102231,467519,56795,911,5065,115545,438247,51426,85025,7.4,17566.0,5737.0,24,16,10062.0,8117.0,49980.0,20.0,26.1518560378,-80.4558842537
Florida,Calhoun,14625,5061,20.699999999999964,41435.66666666666,1,1,1,1,7037.730807321051,8450.441000946708,5365.40273910134,3919.28498875461,4752.568848956789,3209.73844716464,13207.112906539742,3132,2258,11818,2011,75,12,165,544,755,328,1118,5.8,213.0,6415.0,39,19,226.0,19.0,301.0,33.0,30.4060343343,-85.1972071433
Florida,Charlotte,159978,73370,12.461538461538444,54085.71794871794,8,11,7,3,77142.7694307647,119248.59646652766,76569.00173621348,24521.627160088472,39524.101565836994,24284.495389486685,138527.58668265265,22878,54599,144059,9089,1912,59,417,4442,9213,3750,7566,6.6,2515.0,7353.0,26,14,3901.0,361.0,3967.0,23.0,26.8998432654,-81.9503159678
