State,County,POP2010,OHU2010,PovertyRate,MedianFamilyIncome,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Food Environment Index,# Deaths,Years of Potential Life Lost Rate,% Obese,% Fair/Poor,# Diabetics,# Violent Crimes,# Unemployed,% Children in Poverty
Texas,Brown,38106,14778,21.09166666666665,46966.083333333336,11620.157977741326,18742.021618694507,7881.423952948767,4896.372580544002,9042.859843575417,3755.2782029155187,33673.93757496932,9121,6604,32962,1382,163,14,216,3369,7453,959,1937,5.6,669.0,9404.0,25,18,734.0,118.0,693.0,26.0
Texas,Burleson,17187,6822,15.419999999999979,59526.0,3018.324087083024,5026.672985923454,1522.80118055282,873.0907543407345,1573.5237194118486,339.973304802976,16283.54067805972,4045,3007,13392,2098,28,3,107,1559,3166,301,1096,6.9,275.0,8387.0,30,16,285.0,27.0,340.0,25.0
Texas,Burnet,42750,16511,15.987499999999963,60147.5,10675.33086849622,14945.13142067046,5731.2084099963195,2920.9942769383697,4415.552245799451,1743.775928623878,39328.16052397677,9921,7945,37825,766,203,17,290,3649,8652,811,1889,6.2,584.0,7218.0,30,17,590.0,92.0,779.0,22.0
Texas,Caldwell,38066,12301,16.362499999999972,55974.75,7004.928228191278,15598.174509016708,5829.12043031272,3439.260616479304,7413.745296070294,3009.64770893332,33846.36670119506,10058,4510,28865,2585,357,13,305,5941,17922,763,2156,7.2,441.0,6792.0,26,23,639.0,115.0,756.0,25.0
Texas,Calhoun,21381,7766,14.316666666666634,46138.166666666664,11933.685835177122,15815.960054855837,9993.998264075974,4298.283614049906,6140.022742172938,3762.387372014558,18383.25383670057,5671,3234,17432,565,948,8,104,2324,9922,400,1130,7.0,277.0,7793.0,29,21,474.0,91.0,456.0,26.0
Texas,Callahan,13544,5447,18.3999999999999,54580.0,5128.94551844326,5804.62428018906,3800.65327658473,1958.9280353026822,2182.963352245642,1493.45993415226,12958.42144705064,3225,2465,12724,141,57,8,75,539,1025,184,508,6.7,246.0,8898.0,28,15,217.0,13.0,247.0,21.0
Texas,Cameron,406220,119631,36.283720930232505,36533.848837209305,136049.2843542807,250227.94867687806,135715.09937513238,80350.87195307868,150150.45546371513,80182.84431528505,312079.31154138065,134199,44891,353423,2155,2689,113,1688,46152,357747,10069,35273,6.7,3578.0,6089.0,33,32,4465.0,1061.0,11692.0,46.0
Texas,Camp,12401,4678,20.833333333333332,46078.333333333336,1315.363386770943,3823.480999689133,1205.2274230076,754.6419161682124,2262.0059226535654,720.161441005067,11289.34503952591,3355,1993,8402,2163,60,17,82,1677,2648,257,799,6.1,214.0,9981.0,32,21,232.0,43.0,316.0,31.0
Texas,Carson,6182,2452,6.899999999999995,72163.5,1090.820684907905,1090.820684907905,0.0,308.139827986228,308.139827986228,0.0,3864.84791270721,1587,1061,5803,35,19,0,67,258,525,44,74,7.0,86.0,6838.0,28,12,78.0,10.0,100.0,11.0
Texas,Cass,30464,12429,21.571428571428537,47152.28571428572,3254.740022295894,6398.247850567803,1913.570808749472,1558.5312632924758,3320.1521456003675,897.31865325718,26568.78745483445,7065,5815,24079,5315,91,4,161,814,1053,960,2170,5.7,546.0,9267.0,31,17,594.0,98.0,835.0,29.0
Texas,Castro,8062,2744,17.066666666666666,48526.0,1237.171515966482,3687.136898469826,462.406186228946,497.17636361907,1938.653504910437,248.978777048263,5461.900820063291,2523,1077,5532,162,33,0,76,2259,4828,63,301,8.3,89.0,6232.0,28,27,99.0,11.0,126.0,29.0
Texas,Chambers,35096,11952,10.91666666666665,59000.0,4095.401282626214,5974.2786010614445,3611.68543827742,1654.4877410611152,2343.125821499795,1333.80057710651,32356.892776188288,10011,3294,27582,2872,339,21,219,4063,6635,331,688,7.4,437.0,7732.0,29,15,405.0,94.0,950.0,12.0
Texas,Cherokee,50845,17894,25.241666666666642,43977.083333333336,17424.453634624522,25239.48225754444,13708.20215833484,8026.3311535012635,12519.528074163085,6068.292456020568,45835.56583759189,13173,7608,36450,7498,237,9,342,6309,10499,1104,3122,5.9,724.0,8872.0,30,21,689.0,219.0,1083.0,28.0
Texas,Childress,7041,2326,17.99999999999995,70553.0,3760.024724877986,4814.019196997946,3623.26790604683,1439.735642221048,1858.638299076568,1401.48313470808,6768.11007213704,1508,1065,5774,698,50,2,40,477,1885,84,375,5.2,97.0,8359.0,27,20,74.0,29.0,91.0,28.0
Texas,Clay,10752,4319,14.399999999999968,62735.0,5914.027017182219,6971.14406049672,1707.3663201867112,1891.1948469558902,2288.596166363631,557.7934911731351,10256.138997366881,2442,1919,10224,57,28,1,123,319,467,144,381,6.4,170.0,7922.0,29,13,296.0,8.0,219.0,19.0
Texas,Cochran,3127,1113,15.9,44676.0,662.16364265489,662.16364265489,0.001729021081701,246.550291571687,246.550291571687,0.000643784471322,1504.61200436161,918,465,2288,125,5,3,36,670,1654,87,167,7.6,46.0,10032.0,27,28,48.0,6.0,68.0,35.0
Texas,Coke,3320,1466,11.799999999999951,61379.0,3319.21289550831,3319.21289550831,2548.768090636274,1196.5709836569679,1196.5709836569679,971.522600335705,3319.999992832,699,862,3036,8,5,1,37,233,602,57,135,3.8,52.0,6728.0,28,15,59.0,1.0,58.0,21.0
